18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1065.6, end=1119.1, duration=53.5s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1109.1, end=1153.9, duration=44.8s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1139.9, end=1169.5, duration=29.6s, segments=3
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1163.6, end=1220.5, duration=56.9s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1206.9, end=1234.9, duration=28.0s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1221.1, end=1253.4, duration=32.3s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1234.9, end=1289.3, duration=54.4s, segments=3
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1253.7, end=1289.3, duration=35.6s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1274.0, end=1304.7, duration=30.7s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1289.3, end=1322.2, duration=32.9s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1305.2, end=1357.0, duration=51.8s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1345.5, end=1371.1, duration=25.6s, segments=4
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1357.0, end=1382.9, duration=25.9s, segments=5
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1362.4, end=1392.4, duration=30.0s, segments=5
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1367.4, end=1392.4, duration=25.0s, segments=4
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1371.5, end=1403.0, duration=31.5s, segments=4
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1376.5, end=1403.0, duration=26.5s, segments=3
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1383.1, end=1413.5, duration=30.4s, segments=3
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1397.6, end=1428.6, duration=31.0s, segments=3
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1403.6, end=1428.6, duration=25.0s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1413.5, end=1443.4, duration=29.9s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1428.6, end=1456.5, duration=27.9s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1443.4, end=1485.8, duration=42.4s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1479.8, end=1516.5, duration=36.7s, segments=3
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1487.7, end=1516.5, duration=28.8s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1500.7, end=1529.3, duration=28.6s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1516.5, end=1548.1, duration=31.6s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1535.5, end=1563.5, duration=28.0s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1548.7, end=1578.6, duration=29.9s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1563.5, end=1591.4, duration=27.9s, segments=2
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1578.6, end=1615.4, duration=36.8s, segments=3
18:57:46 | INFO | windows | 🪟 Window yaratildi: start=1591.4, end=1622.1, duration=30.7s, segments=3
18:57:46 | INFO | windows | ✅ Umumiy windows soni: 112
